T (us), IAW, IBW, ICW, VAY, VBY, VCY
52750.00, .08551253, 1.3694104, -1.454923, -30.23269, -67.74254, 97.975235
53000.00, -.0427839, 1.4349965, -1.392213, -22.63243, -73.34126, 95.973701
53250.00, -.1708129, 1.4917248, -1.320912, -14.89335, -78.48773, 93.381081
53500.00, -.2977617, 1.5392442, -1.241482, -7.06304, -83.1503, 90.213333
53750.00, -.4228304, 1.5772632, -1.154433, .81043184, -87.30029, 86.489861
54000.00, -.5452399, 1.6055516, -1.060312, 8.6788092, -90.91219, 82.233383
54250.00, -.6642376, 1.6239408, -.9597031, 16.493877, -93.96378, 77.469894
54500.00, -.7791021, 1.6323239, -.8532217, 24.207708, -96.43622, 72.228508
54750.00, -.8891448, 1.6306551, -.7415103, 31.772911, -98.31425, 66.541336
55000.00, -.9937103, 1.6189489, -.6252386, 39.142887, -99.58623, 60.443344
55250.00, -1.092176, 1.5972792, -.5051031, 46.272125, -100.2442, 53.972122
55500.00, -1.183953, 1.5657787, -.3818258, 53.116486, -100.2842, 47.167679
55750.00, -1.268484, 1.5246382, -.256154, 59.633514, -99.70567, 40.072155
56000.00, -1.345248, 1.4741058, -.1288574, 65.782753, -98.51229, 32.729538
56250.00, -1.413763, 1.4144875, -.7241E-3, 71.526047, -96.71138, 25.185335
56500.00, -1.473589, 1.3461447, .12744454, 76.827812, -94.31406, 17.486256
56750.00, -1.524336, 1.2694945, .25484174, 81.655281, -91.33517, 9.6798887
57000.00, -1.56567, 1.1850073, .38066298, 85.978752, -87.79314, 1.8143815
57250.00, -1.597319, 1.0932043, .50411469, 89.771713, -83.70986, -6.061852
57500.00, -1.619076, .994654, .62442249, 93.011009, -79.1106, -13.90041
57750.00, -1.630807, .88996857, .74083823, 95.676918, -74.02373, -21.65319
58000.00, -1.632445, .77979898, .85264558, 97.753258, -68.48064, -29.27262
58250.00, -1.623994, .66482973, .9591642, 99.227394, -62.51549, -36.7119
58500.00, -1.605526, .5457741, 1.0597521, 100.09032, -56.16501, -43.92532
58750.00, -1.577175, .42336857, 1.1538066, 100.33672, -49.4683, -50.86842
59000.00, -1.539133, .29836792, 1.2407647, 99.964935, -42.46658, -57.49836
59250.00, -1.491645, .1715408, 1.3201041, 98.977058, -35.20295, -63.77411
59500.00, -1.435008, .04366518, 1.391343, 97.378952, -27.72215, -69.6568
59750.00, -1.369567, -.0844756, 1.4540423, 95.180229, -20.07029, -75.10994
60000.00, -1.295712, -.2120966, 1.5078087, 92.394279, -12.29455, -80.09973
60250.00, -1.213883, -.3384155, 1.5522979, 89.038162, -4.442898, -84.59526
60500.00, -1.124564, -.4626562, 1.5872201, 85.132576, 3.4361978, -88.56877
60750.00, -1.02829, -.5840535, 1.6123433, 80.701691, 11.294101, -91.99579
61000.00, -.9256421, -.7018574, 1.6274995, 75.772987, 19.082304, -94.85529
61250.00, -.8172484, -.8153384, 1.6325868, 70.377083, 26.752748, -97.12983
61500.00, -.7037798, -.9237925, 1.6275723, 64.547455, 34.258118, -98.80557
61750.00, -.5859458, -1.026546, 1.6124918, 58.320225, 41.552143, -99.87237
62000.00, -.4644877, -1.122962, 1.5874492, 51.733902, 48.589878, -100.3238
62250.00, -.3401717, -1.212441, 1.5526131, 44.829113, 55.32798, -100.1571
62500.00, -.2137805, -1.294433, 1.5082136, 37.648361, 61.724964, -99.37333
62750.00, -.0861056, -1.368432, 1.4545376, 30.235771, 67.741447, -97.97722
63000.00, .04205972, -1.433985, 1.391925, 22.636854, 73.340378, -95.97723
63250.00, .1699263, -1.490691, 1.3207648, 14.898251, 78.487259, -93.38551
63500.00, .29671368, -1.538206, 1.2414924, 7.0674944, 83.150375, -90.21787
63750.00, .4216533, -1.576241, 1.1545874, -.8072543, 87.300949, -86.49369
64000.00, .54399073, -1.604564, 1.060573, -8.677485, 90.913345, -82.23586
64250.00, .66298729, -1.623002, .96001464, -16.49463, 93.965256, -77.47062
64500.00, .77792174, -1.631441, .85351938, -24.21037, 96.437798, -72.22742
64750.00, .88809264, -1.629827, .7417345, -31.77697, 98.315689, -66.53871
65000.00, .99282122, -1.618166, .62534529, -39.14758, 99.587318, -60.43974
65250.00, 1.0914558, -1.596527, .50507104, -46.27659, 100.24484, -53.96825
65500.00, 1.1833771, -1.565038, .3816607, -53.11992, 100.28423, -47.16431
65750.00, 1.2680041, -1.52389, .25588644, -59.63532, 99.705246, -40.06993
66000.00, 1.3448, -1.473337, .1285367, -65.78265, 98.511528, -32.72888
66250.00, 1.4132794, -1.413689, .40915E-3, -71.5241, 96.71048, -25.18637
66500.00, 1.4730121, -1.345315, -.1276968, -76.82444, 94.313248, -17.4888
66750.00, 1.523628, -1.268642, -.2549864, -81.65116, 91.334641, -9.683479
