IAW,IBW,ICW,VAY,VBY,VCY
-15546,13772,1758,-3883,3434,435
-16040,12954,3078,-4006,3228,767
-16437,12063,4391,-4105,3003,1091
-16737,11074,5654,-4179,2760,1411
-16923,10029,6894,-4228,2499,1720
-17021,8927,8093,-4252,2222,2020
-17013,7761,9235,-4247,1932,2308
-16891,6554,10329,-4216,1631,2580
-16680,5298,11350,-4161,1318,2836
-16364,4010,12298,-4080,999,3074
-15935,2713,13181,-3975,673,3295
-15417,1385,13999,-3844,341,3494
-14793,64,14720,-3690,8,3674
-14088,-1271,15336,-3513,-324,3831
-13302,-2600,15862,-3316,-652,3960
-12419,-3912,16292,-3097,-981,4069
-11471,-5184,16616,-2859,-1300,4152
-10442,-6440,16851,-2603,-1613,4210
-9357,-7647,16988,-2331,-1916,4241
-8214,-8814,17013,-2044,-2208,4246
-7023,-9924,16923,-1746,-2486,4225
-5784,-10977,16729,-1438,-2749,4176
-4512,-11957,16437,-1122,-2993,4105
-3216,-12865,16041,-793,-3217,4009
-1895,-13691,15562,-463,-3421,3886
-567,-14420,14987,-132,-3609,3737
769,-15076,14299,197,-3776,3568
2098,-15643,13529,529,-3915,3377
3410,-16105,12678,861,-4027,3167
4707,-16462,11755,1185,-4117,2933
5962,-16729,10758,1496,-4186,2682
7186,-16891,9681,1801,-4228,2415
8376,-16956,8563,2097,-4239,2135
9495,-16907,7388,2379,-4226,1841
10564,-16753,6165,2647,-4189,1535
11577,-16486,4893,2898,-4126,1221
12516,-16130,3605,3133,-4033,899
13375,-15676,2292,3345,-3920,571
14145,-15133,972,3538,-3784,238
14825,-14485,-364,3708,-3620,-95
15417,-13748,-1693,3857,-3437,-427
15911,-12921,-3005,3981,-3231,-756
16316,-12022,-4309,4079,-3006,-1082
16608,-11050,-5581,4152,-2760,-1398
16810,-10005,-6829,4202,-2499,-1709
16907,-8887,-8020,4225,-2222,-2008
16899,-7728,-9170,4223,-1932,-2293
